@ -0,0 +1,1649 @@
Ligurian, Traditional Cuisine
Campanian, Classic Cuisine
Ligurian, Modern Cuisine
Umbrian, Creative
Cuisine from the Marches, Modern Cuisine
Country cooking, Organic
South American, Grills
Meats and Grills, Mediterranean Cuisine
Cuisine from Abruzzo, Meats and Grills
Italian Contemporary, Classic Cuisine
Creative, Campanian
Tuscan, Seasonal Cuisine
Sicilian, Creative
Regional Cuisine, South Tyrolean
Italian Contemporary, Italian
Meats and Grills, Contemporary
Modern Cuisine, Cuisine from Abruzzo
Mantuan, Classic Cuisine
Campanian, Home Cooking
Lombardian, Italian
Country cooking, Italian Contemporary
Emilian, Home Cooking
Sardinian, Home Cooking
Country cooking, Asian Influences
Mantuan, Italian Contemporary
Italian Contemporary, Ligurian
Seafood, Apulian
Cuisine from Romagna, Traditional Cuisine
Calabrian, Classic Cuisine
Cuisine from Lazio, Seasonal Cuisine
Japanese Contemporary, Japanese
Mediterranean Cuisine, Roman
Roman, Classic Cuisine
Roman, Cuisine from Lazio
Roman, Farm to table
Roman, Mediterranean Cuisine
Roman, Traditional Cuisine
Cuisine from Basilicata, Italian
Italian Contemporary, Vegetarian
South Tyrolean, Seasonal Cuisine
Cuisine from the Aosta Valley, Modern Cuisine
Country cooking, Cuisine from the Marches
Pizza, Sharing
Venetian, Country cooking
Friulian, Traditional Cuisine
Modern Cuisine, Calabrian
Sicilian, Classic Cuisine
Modern Cuisine, Alpine
Modern Cuisine, Cuisine from Romagna
Sicilian, Seafood
Sardinian, Creative
Creative, Emilian
Italian Contemporary, Lombardian
Italian Contemporary, Japanese
Cuisine from Valtellina, Lombardian
Seafood, Fish and Chips
Italian Contemporary, Contemporary
Fusion, Regional Cuisine
Cuisine from Valtellina, Traditional Cuisine
Innovative, Contemporary
Umbrian, Modern Cuisine
Cuisine from Romagna, Regional Cuisine
Apulian, Contemporary
Apulian, Creative
Indonesian, Fusion
Calabrian, Contemporary
Innovative, Italian Contemporary
Italian Contemporary, Piedmontese
Mediterranean Cuisine, Campanian
Peruvian, Japanese
Seafood, Friulian
Cuisine from the Marches, Italian Contemporary
Country cooking, Campanian
Regional Cuisine, Mediterranean Cuisine
Tuscan, Grills
Seafood, Farm to table
Contemporary, Venetian
Campanian, Creative
Innovative, Lombardian
Classic Cuisine, Tuscan
406 Kameyacho, Nakagyo-ku, Kyoto, 604-0941, Japan
Beef
Duck Specialities
Izakaya
Kushiage
Obanzai
Oden
Shojin
Soba
Tempura, Japanese
Tonkatsu
Udon
Unagi / Freshwater Eel
Yoshoku
Fugu / Pufferfish
Japanese, Tempura
Mexican, Contemporary
Teppanyaki, Okonomiyaki
Chicken Specialities
Contemporary, Spanish Contemporary
Crab Specialities
French, French Contemporary
Nepali
Onigiri
Pork
Spanish, Contemporary
Sri Lankan
Sukiyaki
Tonkatsu, Yoshoku
Yakitori, French
Fusion, Mediterranean Cuisine
Meats and Grills, Country cooking
Home Cooking, Grills
French, Seasonal Cuisine
Hunanese, Sichuan
Macanese
Peranakan
Hakkanese
Indian, Contemporary
Malaysian, Contemporary
Malaysian, Indonesian
Malaysian, Peranakan
Teochew
Thai contemporary
Thai, Burmese
World Cuisine, International
Asian, Mediterranean Cuisine
Asian, International
South American, Fusion
Traditional Cuisine, Mexican
Mexican, Fusion
Mexican, Vegetarian
Contemporary, Mexican
Creative, Mexican
Grills, International
International, Mexican
Mexican, Creative
Mexican, Mediterranean Cuisine
Mexican, Traditional Cuisine
Seafood, Mexican
Mexican, Seafood
Fusion, Indian
Mexican, International
Mexican, Modern Cuisine
Regional Cuisine, Mexican
Mexican, Bakery
Creative French, Regional Cuisine
